PASSENGERS,ORIGIN_AIRPORT_ID,ORIGIN,MONTH
6154,13930,ORD,6
6154,10994,CHS,3
6154,10693,BNA,5
6155,12339,IND,8
6155,11057,CLT,3
6155,11638,FAT,1
6155,13303,MIA,9
6156,12478,JFK,10
6157,11066,CMH,5
6157,14489,RDM,5
6157,14107,PHX,7
6157,12266,IAH,3
6158,14100,PHL,3
6159,11884,GEG,2
6159,11697,FLL,4
6159,12953,LGA,10
6160,12266,IAH,6
6160,11298,DFW,2
6160,14635,RSW,5
6161,14492,RDU,10
6162,10529,BDL,4
6162,10397,ATL,8
6162,10423,AUS,6
6162,14683,SAT,4
6162,10140,ABQ,9
6163,13930,ORD,4
6163,14107,PHX,7
6163,10140,ABQ,4
6163,11042,CLE,1
6163,13204,MCO,2
6163,12892,LAX,6
6164,12982,LIH,8
6164,13422,MOB,7
6165,14869,SLC,2
6165,13851,OKC,4
6165,10397,ATL,1
6166,12478,JFK,9
6166,11292,DEN,1
6166,11618,EWR,10
6167,11298,DFW,2
6167,10821,BWI,2
6167,12758,KOA,10
6168,12264,IAD,7
6169,11292,DEN,1
6169,13232,MDW,6
6169,11292,DEN,9
6170,13487,MSP,10
6170,14716,SCK,8
6170,14747,SEA,2
6171,11298,DFW,9
6171,14057,PDX,2
6171,13851,OKC,8
6172,14193,PNS,8
6172,15412,TYS,9
6172,11697,FLL,9
6172,10423,AUS,9
6173,12478,JFK,5
6173,13485,MSN,7
6173,10693,BNA,1
6173,12197,HPN,5
6173,12953,LGA,4
6173,14570,RNO,7
6173,15016,STL,3
6173,15016,STL,6
6174,14570,RNO,3
6174,11298,DFW,4
6174,10397,ATL,7
6175,11298,DFW,2
6175,14771,SFO,5
6175,11298,DFW,1
6176,11292,DEN,5
6176,11298,DFW,3
6176,11540,ELP,9
6176,13930,ORD,8
6177,11433,DTW,10
6177,13204,MCO,9
6177,10397,ATL,8
6177,11292,DEN,1
6177,10397,ATL,3
6177,12278,ICT,6
6178,14100,PHL,4
6178,14747,SEA,6
6178,12478,JFK,1
6178,10397,ATL,2
6179,13851,OKC,9
6179,10397,ATL,6
6179,10693,BNA,10
6179,13264,MFR,6
6179,14107,PHX,10
6181,10693,BNA,1
6181,10713,BOI,7
6182,13244,MEM,9
6182,14747,SEA,7
6182,10980,CHA,2
6182,11697,FLL,8
6183,14107,PHX,9
6183,10423,AUS,4
6183,14262,PSP,1
6184,10693,BNA,7
6184,14635,RSW,3
6184,14683,SAT,5
6185,11995,GSO,7
6185,14771,SFO,6
6185,14679,SAN,9
6186,10849,BZN,8
6186,12339,IND,3
6186,11292,DEN,2
6186,11057,CLT,7
6187,14771,SFO,2
6187,15412,TYS,1
6187,13487,MSP,2
6188,14747,SEA,1
6189,12451,JAX,4
6189,14679,SAN,2
6190,15027,STX,2
6190,15016,STL,4
6190,12339,IND,2
6190,12478,JFK,1
6190,11066,CMH,7
6190,12889,LAS,6
6191,14098,PHF,9
6191,11292,DEN,8
6192,11423,DSM,9
6192,10299,ANC,4
6192,12478,JFK,1
6192,13851,OKC,3
6193,10397,ATL,5
6194,11298,DFW,7
6194,14747,SEA,4
6194,11278,DCA,9
6194,13204,MCO,4
6194,14107,PHX,2
6194,14843,SJU,3
6194,11298,DFW,10
6195,14771,SFO,10
6196,11057,CLT,5
6196,12191,HOU,1
6196,14831,SJC,3
6197,11481,ECP,6
6197,13930,ORD,3
6197,13796,OAK,6
6197,14107,PHX,4
6198,11433,DTW,7
6198,10693,BNA,9
6198,13930,ORD,7
6198,11057,CLT,10
6199,14107,PHX,5
6199,12266,IAH,4
6199,11057,CLT,3
6199,14771,SFO,7
6200,15096,SYR,10
6200,10397,ATL,2
6200,13830,OGG,2
6200,11292,DEN,8
6202,12892,LAX,10
6202,12953,LGA,8
6202,12953,LGA,10
6203,14683,SAT,3
6204,13232,MDW,10
6204,14107,PHX,10
6204,12889,LAS,8
6205,13830,OGG,7
6205,15412,TYS,6
6206,14831,SJC,4
6207,15370,TUL,4
6207,13830,OGG,2
6207,11193,CVG,7
6207,14869,SLC,6
6208,11066,CMH,3
6208,12264,IAD,2
6208,11298,DFW,5
6209,13232,MDW,6
6209,13930,ORD,5
6209,12264,IAD,9
6209,14683,SAT,9
6210,13830,OGG,3
6210,11298,DFW,5
6210,13851,OKC,10
6211,13342,MKE,10
6211,12478,JFK,2
6211,14107,PHX,6
6212,15016,STL,10
6212,10821,BWI,7
6212,11066,CMH,10
6212,13264,MFR,10
6212,14683,SAT,6
6212,11433,DTW,9
6212,11618,EWR,2
6212,14570,RNO,10
6213,13930,ORD,4
6213,10257,ALB,10
6213,12339,IND,9
6214,11298,DFW,9
6214,14683,SAT,10
6215,11481,ECP,7
6215,12191,HOU,3
6215,13476,MRY,5
6215,13232,MDW,7
6216,11057,CLT,5
6216,13232,MDW,8
6216,13871,OMA,7
6216,12266,IAH,2
6216,14262,PSP,9
6216,11292,DEN,4
6216,13930,ORD,5
6217,12266,IAH,6
6217,11057,CLT,4
6217,12339,IND,6
6217,10529,BDL,8
6218,12478,JFK,7
6219,13930,ORD,2
6219,12892,LAX,7
6220,10208,AGS,7
6220,13930,ORD,3
6220,10423,AUS,9
6220,12889,LAS,2
6220,15304,TPA,2
6220,11057,CLT,3
6220,12892,LAX,7
6221,14576,ROC,6
6221,12953,LGA,7
6222,10693,BNA,4
6222,14122,PIT,3
6222,14492,RDU,4
6223,12173,HNL,9
6223,14908,SNA,2
6223,14107,PHX,10
6224,11982,GRK,1
6224,14570,RNO,4
6224,13487,MSP,9
6225,12173,HNL,4
6225,12451,JAX,7
6225,13244,MEM,6
6225,13204,MCO,2
6225,14107,PHX,6
6226,14570,RNO,8
6226,11884,GEG,3
6226,15016,STL,5
6227,10372,ASE,10
6227,11292,DEN,2
6227,14771,SFO,1
6228,11057,CLT,4
6228,12266,IAH,4
6228,15323,TRI,10
6228,10397,ATL,10
6228,13487,MSP,2
6228,15370,TUL,3
6228,13204,MCO,9
6229,15356,TTN,2
6229,11292,DEN,5
6230,12982,LIH,6
6230,13342,MKE,4
6230,14716,SCK,3
6230,14492,RDU,9
6230,11433,DTW,7
6231,12173,HNL,7
6231,13232,MDW,5
6232,13871,OMA,4
6233,10397,ATL,6
6233,11298,DFW,5
6233,14679,SAN,1
6233,14635,RSW,3
